EVENT_DATE,YEAR,EVENT_TYPE,SUB_EVENT_TYPE,ACTOR1,ASSOC_ACTOR_1,INTER1,ACTOR2,ASSOC_ACTOR_2,INTER2,INTERACTION,REGION,COUNTRY,LOCATION,LATITUDE,LONGITUDE,SOURCE,SOURCE_SCALE,FATALITIES,TIMESTAMP
05-Jan-22,2022,Riots,Mob violence,Rioters (Palestine),,5,Police Forces of Israel (2021-),,8,58,Middle East,Palestine,Umm al Khayr,31.425,35.196,Anadolu Agency; Al-Ittihad; Arab 48; Haaretz; Ma'an News Agency; Dunia Al Watan; Press TV; Palestine News and Information Agency; PCHR: Palestinian Centre for Human Rights; PLO Negotiations Affairs Department,Other-National,1,1643043295
06-Jan-22,2022,Battles,Armed clash,Unidentified Armed Group (Palestine),Refugees/IDPs (Palestine),3,Military Forces of Israel (2021-),,8,38,Middle East,Palestine,Balata,32.212,35.286,Liveuamap; Palestinian News Network; Asharq Al Awsat; Ma'an News Agency; Times of Israel; Al-Ittihad; AP; PLO Negotiations Affairs Department; BBC News; Haaretz; AFP; Palestine News and Information Agency; Twitter; Arab 48,Local partner-New media,1,1644271365
12-Jan-22,2022,Violence against civilians,Attack,Military Forces of Israel (2021-),,8,Civilians (Palestine),,7,78,Middle East,Palestine,Jiljilya,32.033,35.223,Palestine News and Information Agency; Arab 48; Arab News; Haaretz; Al Ghad (Jordan); Ma'an News Agency; PCHR: Palestinian Centre for Human Rights; AFP; Twitter; Anadolu Agency; Liveuamap; BBC News; AP; PLO Negotiations Affairs Department,Local partner-New media,1,1642435615
17-Jan-22,2022,Battles,Armed clash,Unidentified Armed Group (Palestine),,3,Military Forces of Israel (2021-),,8,38,Middle East,Palestine,Gush Etzion,31.669,35.237,Al-Ittihad; Dunia Al Watan; Liveuamap; Jordan News Agency; AFP; Twitter; PLO Negotiations Affairs Department; Anadolu Agency; Arab 48; Xinhua; Palestinian News Network; Palestine News and Information Agency; BBC News; Haaretz; Israeli Defense Forces; Press TV,Local partner-New media,1,1643043295
24-Jan-22,2022,Riots,Mob violence,Rioters (Palestine),Refugees/IDPs (Palestine); Civilians (Palestine),5,Military Forces of Israel (2021-),,8,58,Middle East,Palestine,Al Quds - Mukhayyam Qalandia,31.868,35.228,BBC News; PLO Negotiations Affairs Department; Liveuamap; Palestine News and Information Agency; Dunia Al Watan; Anadolu Agency; Ma'an News Agency; Arab 48; Twitter; PCHR: Palestinian Centre for Human Rights,Local partner-New media,1,1643657314
08-Feb-22,2022,Battles,Armed clash,Military Forces of Israel (2021-),,8,Al Aqsa Martyrs Brigade,,3,38,Middle East,Palestine,Nablus,32.221,35.254,PLO Negotiations Affairs Department; Al Ghad (Jordan); Arab 48; AFP; BBC News; Dunia Al Watan; AP; Ma'an News Agency; Haaretz; Al-Ittihad; PCHR: Palestinian Centre for Human Rights; Anadolu Agency; Palestine News and Information Agency; Press TV; Xinhua,Other-National,3,1644855392
13-Feb-22,2022,Battles,Armed clash,Unidentified Armed Group (Palestine),Rioters (Palestine),3,Military Forces of Israel (2021-),,8,38,Middle East,Palestine,Silat al Harithiyah,32.508,35.228,Palestine News and Information Agency; Al Ghad (Jordan); Haaretz; Arab 48; Times of Israel; Anadolu Agency; PLO Negotiations Affairs Department; BBC News; Ma'an News Agency; Liveuamap; PCHR: Palestinian Centre for Human Rights; Twitter; AFP; Al-Ittihad,Local partner-New media,1,1645466115
15-Feb-22,2022,Riots,Mob violence,Rioters (Palestine),,5,Military Forces of Israel (2021-),,8,58,Middle East,Palestine,An Nabi Salih,32.016,35.124,Haaretz; AFP; Al-Ittihad; Xinhua; PLO Negotiations Affairs Department; Liveuamap; Press TV; PCHR: Palestinian Centre for Human Rights; Ma'an News Agency; Arab 48; Twitter; Palestine News and Information Agency,Local partner-New media,1,1645466115
22-Feb-22,2022,Riots,Mob violence,Rioters (Palestine),,5,Military Forces of Israel (2021-),,8,58,Middle East,Palestine,Al Khadir,31.694,35.167,Times of Israel; AFP; Twitter; Al Ghad (Jordan); Dunia Al Watan; Palestine News and Information Agency; Ma'an News Agency; Liveuamap; Press TV; PLO Negotiations Affairs Department; Haaretz; PCHR: Palestinian Centre for Human Rights,Local partner-New media,1,1646058913
01-Jan-22,2022,Battles,Armed clash,Military Forces of Iran (1989-) Islamic Revolutionary Guard Corps,,1,Shahbakhsh Baloch Tribal Militia (Iran),,4,14,Middle East,Iran,Shuru,29.152,60.254,FARS News Agency (Iran); Tasnim News Agency; Baloch Campaign; Mehr News Agency; Iran Kargar,Other-New media,9,1641834040
