EVENT_DATE,YEAR,EVENT_TYPE,SUB_EVENT_TYPE,ACTOR1,ASSOC_ACTOR_1,INTER1,ACTOR2,ASSOC_ACTOR_2,INTER2,INTERACTION,REGION,COUNTRY,LOCATION,LATITUDE,LONGITUDE,SOURCE,SOURCE_SCALE,FATALITIES,TIMESTAMP
01-Jan-16,2016,Riots,Violent demonstration,Rioters (Bahrain),,5,Police Forces of Bahrain (1999-),,1,15,Middle East,Bahrain,Sitrah,26.155,50.621,Press TV,Regional,0,1572403770
01-Jan-16,2016,Protests,Peaceful protest,Protesters (Bahrain),,6,,,0,60,Middle East,Bahrain,Al Maamir,26.133,50.609,Press TV,Regional,0,1618526539
01-Jan-16,2016,Riots,Violent demonstration,Rioters (Bahrain),February 14 Youth Coalition,5,,,0,50,Middle East,Bahrain,Jid Ali,26.179,50.563,14 February Revolution Youth Coalition,Other,0,1584127701
01-Jan-16,2016,Riots,Violent demonstration,Rioters (Bahrain),February 14 Youth Coalition,5,,,0,50,Middle East,Bahrain,Karzakkan,26.116,50.482,14 February Revolution Youth Coalition,Other,0,1584127701
02-Jan-16,2016,Riots,Violent demonstration,Rioters (Bahrain),Shiite Muslim Group (Bahrain); February 14 Youth Coalition,5,,,0,50,Middle East,Bahrain,Tubli,26.187,50.549,14 February Revolution Youth Coalition,Other,0,1584127701
02-Jan-16,2016,Riots,Violent demonstration,Rioters (Bahrain),Shiite Muslim Group (Bahrain); February 14 Youth Coalition,5,,,0,50,Middle East,Bahrain,Al Hamalah,26.143,50.459,14 February Revolution Youth Coalition,Other,0,1584127701
02-Jan-16,2016,Riots,Violent demonstration,Rioters (Bahrain),Shiite Muslim Group (Bahrain); February 14 Youth Coalition,5,,,0,50,Middle East,Bahrain,Salmabad,26.183,50.525,14 February Revolution Youth Coalition,Other,0,1584127701
17-Sep-20,2020,Protests,Peaceful protest,Protesters (Bahrain),,6,,,0,60,Middle East,Bahrain,Sitrah,26.155,50.621,Bahrain Alyoum,National,0,1644271366
17-Sep-20,2020,Protests,Peaceful protest,Protesters (Bahrain),,6,,,0,60,Middle East,Bahrain,Southern Sehla,26.202,50.537,Bahrain Alyoum,National,0,1644271366
17-Sep-20,2020,Protests,Peaceful protest,Protesters (Bahrain),,6,,,0,60,Middle East,Bahrain,Karbabad,26.23,50.529,Bahrain Alyoum,National,0,1644271366
18-Sep-20,2020,Protests,Peaceful protest,Protesters (Bahrain),February 14 Youth Coalition,6,,,0,60,Middle East,Bahrain,Al Maamir,26.133,50.609,14 February Revolution Youth Coalition,Other,0,1618873884
18-Sep-20,2020,Protests,Peaceful protest,Protesters (Bahrain),February 14 Youth Coalition,6,,,0,60,Middle East,Bahrain,Al Musalla,26.212,50.537,14 February Revolution Youth Coalition,Other,0,1618873885
18-Sep-20,2020,Protests,Peaceful protest,Protesters (Bahrain),February 14 Youth Coalition,6,,,0,60,Middle East,Bahrain,Karbabad,26.23,50.529,14 February Revolution Youth Coalition,Other,0,1618873885
